;;;;;;;;;;;;
Arrecada� do IPVA por Regi�e Munic�o -  2017;;;;;;;;;;;;
Regi�/ Munic�o;Janeiro;Fevereiro;Mar�Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
PINHEIRAL; 839.940,29 ; 481.414,68 ; 403.330,85 ; 249.422,66 ; 110.787,36 ; 84.612,35 ; 84.980,12 ; 79.205,81 ; 60.164,77 ; 28.081,73 ; 27.917,54 ; 47.348,33 
PIRAI; 1.078.743,70 ; 641.402,74 ; 495.236,71 ; 284.432,45 ; 137.369,30 ; 89.927,29 ; 76.161,71 ; 50.927,79 ; 55.764,11 ; 53.697,44 ; 24.139,63 ; 34.725,50 
PORTO REAL; 6.430.272,89 ; 1.999.875,91 ; 666.013,67 ; 278.315,64 ; 1.008.671,42 ; 798.037,16 ; 464.761,40 ; 369.398,47 ; 310.764,98 ; 104.586,36 ; 70.086,02 ; 74.681,95 
QUATIS; 466.660,92 ; 221.139,54 ; 188.489,88 ; 92.677,47 ; 84.241,16 ; 50.748,30 ; 38.875,01 ; 38.789,20 ; 22.610,50 ; 15.401,40 ; 13.424,05 ; 18.452,03 
RESENDE; 12.015.464,08 ; 6.214.068,83 ; 4.293.984,40 ; 2.809.273,58 ; 1.283.781,45 ; 1.049.632,32 ; 888.571,27 ; 899.935,82 ; 589.896,40 ; 435.833,24 ; 325.414,34 ; 407.882,77 
RIO CLARO; 614.450,81 ; 325.304,05 ; 295.553,49 ; 166.687,58 ; 71.918,51 ; 60.468,50 ; 46.817,55 ; 37.474,69 ; 37.333,87 ; 25.297,63 ; 12.372,43 ; 34.817,26 
RIO DAS FLORES; 231.282,17 ; 129.245,94 ; 116.162,70 ; 49.577,65 ; 27.560,28 ; 31.659,38 ; 20.593,80 ; 22.551,69 ; 21.052,30 ; 6.573,97 ; 5.305,63 ; 14.488,45 
VALENCA; 2.807.083,38 ; 1.471.166,91 ; 1.153.768,12 ; 661.337,82 ; 304.213,14 ; 215.490,30 ; 230.670,80 ; 171.815,03 ; 127.102,73 ; 114.592,51 ; 68.981,06 ; 139.033,45 
VOLTA REDONDA; 18.634.244,58 ; 10.538.670,39 ; 7.722.488,71 ; 4.663.186,85 ; 2.342.118,79 ; 1.784.498,26 ; 1.434.219,53 ; 1.269.365,22 ; 1.043.172,35 ; 694.947,62 ; 580.617,46 ; 749.899,83 
METROPOLITANA; 215.140.904,74 ; 136.724.927,62 ; 103.366.143,32 ; 60.949.395,76 ; 30.645.848,23 ; 25.688.157,46 ; 23.411.825,56 ; 21.684.810,62 ; 16.541.118,82 ; 12.667.272,66 ; 8.949.575,52 ; 11.281.951,70 
BELFORD ROXO; 9.225.991,06 ; 6.339.956,10 ; 4.958.910,51 ; 2.864.366,57 ; 1.551.265,96 ; 1.389.886,46 ; 1.216.962,48 ; 1.242.596,36 ; 992.784,73 ; 680.608,59 ; 474.719,13 ; 650.771,25 
