Regiao_Municipio,Janeiro,Fevereiro,Marco,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
SEROPEDICA,3312447.26,1768498.13,1385172.91,842492.36,390356.49,343378.77,382964.84,242759.78,196581.37,154257.98,98417.84
TANGUA,823201.12,486659.11,398134.89,238215.96,114056.76,99145.86,82649.64,70170.2,73392.31,45454.72,35052.62
NOROESTE,15176111.91,8613634.49,6524063.54,3579806.65,1681380.2,1326966.49,1184640.62,1232037.34,869282.13,720596.71,477601.93
APERIBE,628740.51,328526.77,221772.87,111390.67,47114.47,45856.01,36163.09,39606.2,25997.14,25139.04,10580.24
BOM JESUS DO ITABAPOANA,885916.66,630535.11,461870.89,270360.44,137984.11,99112.44,79902.94,84004.3,63504.03,74578.45,41751.06
CAMBUCI,538789.17,316824.64,217788.26,128568.21,57549.42,41439.1,27534.51,45414.9,25236.79,35519.74,12952.31
ITALVA,539109.54,329992.75,250604.14,126008.94,64039.28,46045.88,28537.58,47838.95,37367.12,30623.51,13479.51
ITAOCARA,1537890.67,837888.5,603496.49,325108.09,160513.03,130542.38,115922.68,128653.53,92760.37,87912.54,50310.37
ITAPERUNA,5638414.89,3237364.17,2504222.47,1386074.87,660843.22,527680.73,494956.04,491139.42,332238.05,239356.25,178887.62
LAJE DO MURIAE,187795.84,108555.89,93646.15,53292.19,22558.93,18833.76,15113.33,10574.04,5478.96,7095.0,4489.63
MIRACEMA,1162966.55,709263.27,513312.01,289162.07,139249.69,97256.44,91077.36,79167.3,82578.98,40797.46,46407.29
NATIVIDADE,665740.33,315986.21,299190.86,130303.25,54136.1,37077.26,42019.24,49220.54,15710.35,29246.97,17623.53
PORCIUNCULA,542971.45,281418.51,224776.43,104078.94,63964.44,48782.87,29256.49,34591.88,20475.14,20761.9,10248.83
SANTO ANTONIO DE PADUA,2248538.16,1195461.03,941179.34,537343.41,215168.94,185025.69,184138.25,182065.72,135791.29,103250.02,78804.28
SAO JOSE DE UBA,309595.02,186435.14,109802.15,55410.4,28356.27,30212.32,26619.31,21525.23,19820.53,15782.09,6683.73
VARRE SAI,289643.12,135382.5,82401.48,62705.17,29902.3,19101.61,13399.8,18235.33,12323.38,10533.74,5383.53
NORTE,43934070.22,27121839.11,21811075.14,12484452.87,6491586.75,5556529.64,4636933.11,4793410.64,3752287.33,2769364.58,1958584.2
CAMPOS DOS GOYTACAZES,19345019.17,12278072.03,9692857.94,5856528.19,3363431.97,2869520.65,2434349.49,2754582.6,2164664.38,1596781.16,1263442.93
CARAPEBUS,473620.37,273946.69,252409.39,140837.03,47715.05,49245.06,38897.19,32081.37,37044.72,16983.55,10784.64
CARDOSO MOREIRA,400309.29,187000.22,153128.0,80315.22,54105.03,41650.41,23939.85,27486.31,23042.06,18553.67,15000.91
CONCEICAO DE MACABU,990251.71,539605.26,466623.66,257852.71,111028.38,66791.34,52925.15,63222.91,34920.66,26506.97,24465.71
MACAE,18942379.18,11422230.32,9339055.57,5093018.81,2274875.95,2018877.57,1647903.42,1474030.99,1138125.07,851013.83,471705.34
QUISSAMA,606674.51,386143.58,347338.61,190669.94,108532.57,82196.24,64696.22,59159.11,43716.95,38311.07,22574.61
SAO FIDELIS,1112225.76,699111.18,531606.9,287983.66,161749.7,137358.93,126233.73,137368.26,99840.58,69485.04,43101.46
SAO FRANCISCO DE ITABAPOANA,850653.15,546163.05,488409.91,293948.57,152871.83,110592.51,120407.55,110813.91,94265.61,80691.43,60454.91
SAO JOAO DA BARRA,1212937.08,789566.78,539645.16,283298.74,217276.27,180296.93,127580.51,134665.18,116667.3,71037.86,47053.69
SERRANA,60335451.22,33890575.66,24295829.95,14671627.01,6905015.68,5573243.77,4508373.14,4266903.95,3167640.19,2519886.71,1899432.79
BOM JARDIM,1514642.73,828009.26,568022.82,344876.93,177261.2,127242.44,132046.91,93828.15,53878.14,56465.71,39955.21
CANTAGALO,902499.95,515928.48,391812.47,209441.33,106325.52,76970.84,76798.3,61624.62,36134.37,31522.12,20141.33
CARMO,690783.98,370050.71,286900.06,152142.7,60371.32,39627.85,46073.8,34804.56,27310.14,26153.92,13024.16
CORDEIRO,1073014.06,671881.26,530106.45,293968.45,157658.98,147717.0,89953.81,72350.3,50303.36,33418.23,31208.66
DUAS BARRAS,377345.34,228950.28,163222.71,100513.96,49351.74,41950.7,33841.84,29594.45,24735.1,7730.15,12452.27
MACUCO,303104.94,176553.57,162525.19,85528.86,39221.66,39699.83,28942.13,17137.96,17402.97,13576.78,13301.06
NOVA FRIBURGO,15848374.34,8581926.45,6098757.59,3560847.12,1670290.93,1513501.83,1082178.24,1019744.38,782487.17,545841.7,401644.72
PETROPOLIS,23749883.8,13980891.3,9788107.37,6285625.84,2785716.66,2059358.89,1821836.25,1782531.43,1351384.11,1127128.35,693806.21
SANTA MARIA MADALENA,362851.34,203482.55,139519.75,87852.13,47075.52,34086.8,26043.41,23454.28,10007.34,8342.97,6316.13
SAO JOSE DO VALE DO RIO PRETO,1138737.68,549008.43,434280.32,263292.33,108982.07,72805.05,56702.11,71736.53,40231.69,26809.73,40205.39
SAO SEBASTIAO DO ALTO,361220.91,181139.64,167316.45,78517.08,47399.42,41778.32,26603.02,37104.77,18260.95,18726.29,13556.78
SUMIDOURO,753690.67,379665.58,226542.7,137210.32,96928.6,86577.42,50467.64,41939.33,27790.57,30240.4,21870.99
TERESOPOLIS,12974204.95,7040505.02,5192450.19,2965442.05,1521033.71,1257412.95,1002997.59,952607.75,712009.15,584104.25,582951.19
TRAJANO DE MORAIS,285096.53,182583.13,146265.88,106367.91,37398.35,34513.85,33888.09,28445.44,15705.13,9826.11,8998.69
